iter	Passed	Remaining
0	102	51388
1	127	31868
2	146	24292
3	168	20856
4	186	18420
5	203	16779
6	222	15636
7	244	15035
8	264	14419
9	283	13895
10	306	13612
11	326	13280
12	347	13023
13	372	12930
14	395	12795
15	418	12652
16	443	12591
17	466	12478
18	485	12294
19	507	12181
20	532	12151
21	556	12088
22	577	11972
23	597	11853
24	620	11782
25	644	11748
26	667	11696
27	688	11601
28	709	11518
29	726	11388
30	749	11336
31	774	11332
32	794	11244
33	814	11168
34	833	11067
35	851	10970
36	870	10892
37	891	10843
38	913	10803
39	933	10734
40	956	10706
41	980	10689
42	1003	10663
43	1022	10592
44	1039	10513
45	1061	10479
46	1081	10424
47	1104	10396
48	1127	10374
49	1153	10379
50	1173	10329
51	1190	10258
52	1212	10227
53	1234	10198
54	1257	10176
55	1276	10121
56	1296	10076
57	1318	10051
58	1339	10011
59	1361	9984
60	1378	9919
61	1397	9872
62	1417	9834
63	1437	9793
64	1457	9756
65	1478	9720
66	1497	9678
67	1518	9648
68	1536	9596
69	1553	9541
70	1570	9487
71	1587	9438
72	1606	9395
73	1624	9349
74	1645	9326
75	1664	9283
76	1682	9244
77	1706	9232
78	1725	9194
79	1747	9176
80	1764	9126
81	1780	9075
82	1797	9032
83	1814	8984
84	1831	8939
85	1848	8898
86	1867	8862
87	1886	8831
88	1903	8788
89	1926	8774
90	1944	8737
91	1959	8689
92	1978	8660
93	1998	8633
94	2016	8598
95	2036	8571
96	2059	8556
97	2081	8537
98	2100	8506
99	2120	8480
100	2143	8469
101	2163	8440
102	2182	8413
103	2201	8383
104	2220	8354
105	2239	8324
106	2257	8290
107	2275	8260
108	2294	8231
109	2311	8194
110	2334	8181
111	2359	8173
112	2381	8156
113	2402	8135
114	2420	8103
115	2440	8079
116	2462	8060
117	2485	8045
118	2505	8020
119	2525	7998
120	2544	7968
121	2564	7944
122	2586	7926
123	2606	7902
124	2622	7868
125	2644	7850
126	2662	7819
127	2679	7787
128	2696	7755
129	2712	7719
130	2730	7689
131	2751	7671
132	2768	7640
133	2787	7613
134	2807	7590
135	2824	7560
136	2842	7532
137	2861	7506
138	2880	7480
139	2903	7466
140	2924	7445
141	2945	7426
142	2966	7405
143	2984	7379
144	3002	7349
145	3023	7329
146	3044	7311
147	3063	7285
148	3085	7267
149	3105	7245
150	3125	7223
151	3146	7202
152	3166	7180
153	3184	7154
154	3204	7132
155	3224	7111
156	3243	7085
157	3261	7059
158	3278	7031
159	3298	7009
160	3315	6981
161	3333	6955
162	3351	6928
163	3366	6897
164	3383	6869
165	3401	6844
166	3418	6817
167	3437	6793
